entry_time,exit_time,symbol,timeframe,asset_class,direction,exit_reason,label,gross_r,cost_r,net_r,risk_amount,money_pnl,equity_after,open_slots_in_use
2024-06-19 01:00:00+00:00,2024-06-19 02:00:00+00:00,ETH-USD,1h,crypto,short,sl,0,-1.0,0.4587,-1.4587,74.26,-108.33,7317.74,5
2024-06-19 03:00:00+00:00,2024-06-19 04:00:00+00:00,ETH-USD,1h,crypto,short,sl,0,-1.0,0.5698,-1.5698,73.18,-114.87,7202.87,5
2024-06-19 17:00:00+00:00,2024-06-19 21:00:00+00:00,GBPJPY=X,1h,fx,long,sl,0,-1.0,0.1738,-1.1738,73.21,-85.94,7235.43,5
2024-06-19 21:00:00+00:00,2024-06-20 05:00:00+00:00,USDJPY=X,1h,fx,long,tp,1,3.0,0.256,2.744,72.35,198.54,7433.98,5
2024-06-20 07:00:00+00:00,2024-06-20 08:00:00+00:00,USDCHF=X,1h,fx,short,sl,0,-1.0,0.1684,-1.1684,74.34,-86.86,7347.12,5
2024-06-20 08:00:00+00:00,2024-06-20 16:00:00+00:00,SOL-USD,4h,crypto,short,tp,1,3.0,0.2385,2.7615,73.47,202.89,7550.01,4
2024-06-20 09:00:00+00:00,2024-06-20 13:00:00+00:00,GC=F,1h,commodities,long,tp,1,3.0,0.4531,2.5469,75.5,192.29,7742.3,5
2024-06-20 13:00:00+00:00,2024-06-20 14:00:00+00:00,ETH-USD,1h,crypto,long,sl,0,-1.0,0.8176,-1.8176,77.42,-140.72,7601.57,5
2024-06-20 13:30:00+00:00,2024-06-20 14:30:00+00:00,AAPL,1h,us_stocks,long,sl,0,-1.0,0.1064,-1.1064,76.02,-84.11,7517.47,3
2024-06-20 13:30:00+00:00,2024-06-20 15:30:00+00:00,^IXIC,1h,indices,short,tp,1,3.0,0.29,2.71,75.17,203.72,7721.19,4
2024-06-20 13:30:00+00:00,2024-06-20 16:30:00+00:00,^RUT,1h,indices,long,sl,0,-1.0,0.2964,-1.2964,77.21,-100.1,7621.09,5
2024-06-20 14:00:00+00:00,2024-06-20 15:00:00+00:00,GBPJPY=X,1h,fx,short,sl,0,-1.0,0.0985,-1.0985,76.21,-83.72,7537.38,5
2024-06-20 14:30:00+00:00,2024-06-20 17:30:00+00:00,^RUT,1h,indices,short,tp,1,3.0,0.3192,2.6808,75.37,202.06,7739.44,5
2024-06-20 15:00:00+00:00,2024-06-21 00:00:00+00:00,EURJPY=X,1h,fx,long,tp,1,3.0,0.1704,2.8296,77.39,218.99,7958.43,5
2024-06-20 16:30:00+00:00,2024-06-21 13:30:00+00:00,MSFT,1h,us_stocks,short,sl,0,-1.0,0.1577,-1.1577,79.58,-92.14,7866.29,3
2024-06-20 17:30:00+00:00,2024-06-21 13:30:00+00:00,UNH,1h,us_stocks,short,sl,0,-1.0,0.1708,-1.1708,78.66,-92.1,7774.19,3
2024-06-20 23:00:00+00:00,2024-06-21 00:00:00+00:00,BNB-USD,1h,crypto,long,sl,0,-1.0,0.696,-1.696,77.74,-131.85,7642.34,4
2024-06-21 06:00:00+00:00,2024-06-21 12:00:00+00:00,SI=F,1h,commodities,long,sl,0,-1.0,0.2138,-1.2138,76.42,-92.76,7549.58,3
2024-06-21 07:00:00+00:00,2024-06-21 08:00:00+00:00,XRP-USD,1h,crypto,short,tp,1,3.0,1.6634,1.3366,75.5,100.91,7650.49,4
2024-06-21 09:00:00+00:00,2024-06-21 19:00:00+00:00,ETH-USD,1h,crypto,short,sl,0,-1.0,0.8412,-1.8412,76.5,-140.86,7509.62,4
2024-06-21 09:00:00+00:00,2024-06-21 14:00:00+00:00,SOL-USD,1h,crypto,short,sl,0,-1.0,0.4479,-1.4479,75.1,-108.73,7400.89,5
2024-06-21 12:00:00+00:00,2024-06-26 08:00:00+00:00,NZDUSD=X,4h,fx,long,sl,0,-1.0,0.0882,-1.0882,74.01,-80.54,7320.36,5
2024-06-21 13:30:00+00:00,2024-06-21 14:30:00+00:00,GLD,1h,etfs,long,sl,0,-1.0,0.1518,-1.1518,73.2,-84.31,7236.05,4
2024-06-21 13:30:00+00:00,2024-06-24 13:30:00+00:00,DIA,1h,etfs,long,tp,1,3.0,0.1755,2.8245,72.36,204.38,7440.42,5
2024-06-21 14:00:00+00:00,2024-06-23 22:00:00+00:00,NG=F,1h,commodities,long,sl,0,-1.0,0.0845,-1.0845,74.4,-80.69,7359.73,5
2024-06-21 14:30:00+00:00,2024-06-25 13:30:00+00:00,SLV,1h,etfs,long,sl,0,-1.0,0.0753,-1.0753,73.6,-79.14,7280.59,5
2024-06-22 08:00:00+00:00,2024-06-22 23:00:00+00:00,SOL-USD,1h,crypto,long,sl,0,-1.0,0.7659,-1.7659,72.81,-128.57,7152.02,5
2024-06-23 00:00:00+00:00,2024-06-23 21:00:00+00:00,BNB-USD,1h,crypto,short,tp,1,3.0,0.6554,2.3446,71.52,167.69,7319.71,5
2024-06-23 21:00:00+00:00,2024-06-24 04:00:00+00:00,ETH-USD,1h,crypto,long,sl,0,-1.0,0.477,-1.477,73.2,-108.11,7211.6,5
2024-06-23 23:00:00+00:00,2024-06-24 09:00:00+00:00,CL=F,1h,commodities,long,tp,1,3.0,0.3563,2.6437,72.12,190.65,7402.25,5
2024-06-24 07:00:00+00:00,2024-06-24 09:00:00+00:00,EURUSD=X,1h,fx,short,sl,0,-1.0,0.3748,-1.3748,74.02,-101.76,7300.49,5
2024-06-24 09:00:00+00:00,2024-06-24 10:00:00+00:00,USDJPY=X,1h,fx,long,sl,0,-1.0,0.1888,-1.1888,73.0,-86.79,7213.7,4
